id,timestamp,device_ip,sysName,ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label,if_name
86,2025-09-17 16:57:35,192.168.99.2,S1.cisco.local,1585044,973997,0,11660,0,8570,316,316,301,2,0,0,0,0,0,10001
87,2025-09-17 16:57:35,192.168.99.3,S2.cisco.local,5509157,5205152,0,18321,0,14157,645,645,485,3,0,0,0,0,0,10001
88,2025-09-17 16:57:35,192.168.99.4,S3.cisco.local,4341771,4515667,0,4734,0,5582,323,323,292,1,0,0,0,0,0,10001
89,2025-09-17 16:57:50,192.168.99.1,R1.cisco.local,10755590,9824585,0,35524,0,27869,24385,24348,15466,0,0,10796,37,0,0,2
90,2025-09-17 16:57:50,192.168.99.2,S1.cisco.local,1587036,976681,0,11674,0,8585,317,317,302,2,0,0,0,0,0,10001
91,2025-09-17 16:57:50,192.168.99.3,S2.cisco.local,5510676,5206790,0,18337,0,14167,646,646,486,3,0,0,0,0,0,10001
92,2025-09-17 16:57:50,192.168.99.4,S3.cisco.local,4341771,4516307,0,4734,0,5584,324,324,293,1,0,0,0,0,0,10001
93,2025-09-17 16:58:05,192.168.99.1,R1.cisco.local,10759750,9828239,0,35555,0,27895,24408,24371,15482,0,0,10802,37,0,0,2
94,2025-09-17 16:58:05,192.168.99.2,S1.cisco.local,1599155,979301,0,11690,0,8600,318,318,303,2,0,0,0,0,0,10001
95,2025-09-17 16:58:05,192.168.99.3,S2.cisco.local,5511600,5207938,0,18349,0,14176,647,647,487,3,0,0,0,0,0,10001
96,2025-09-17 16:58:06,192.168.99.4,S3.cisco.local,4341835,4516819,0,4734,0,5585,325,325,294,1,0,0,0,0,0,10001
97,2025-09-17 16:58:21,192.168.99.1,R1.cisco.local,10765606,9832149,0,35602,0,27924,24450,24413,15504,0,0,10808,37,0,0,2
98,2025-09-17 16:58:21,192.168.99.2,S1.cisco.local,1601647,982397,0,11704,0,8614,319,319,304,2,0,0,0,0,0,10001
99,2025-09-17 16:58:21,192.168.99.3,S2.cisco.local,5514016,5209486,0,18379,0,14191,648,648,488,3,0,0,0,0,0,10001
100,2025-09-17 16:58:21,192.168.99.4,S3.cisco.local,4341835,4517918,0,4734,0,5587,326,326,295,1,0,0,0,0,0,10001
101,2025-09-17 16:58:36,192.168.99.1,R1.cisco.local,10771330,9836141,0,35632,0,27949,24476,24439,15519,0,0,10814,37,0,0,2
102,2025-09-17 16:58:36,192.168.99.2,S1.cisco.local,1608612,985007,0,11719,0,8628,320,320,305,2,0,0,0,0,0,10001
103,2025-09-17 16:58:36,192.168.99.3,S2.cisco.local,5515023,5210634,0,18392,0,14200,649,649,489,3,0,0,0,0,0,10001
104,2025-09-17 16:58:36,192.168.99.4,S3.cisco.local,4342082,4518494,0,4734,0,5589,327,327,296,1,0,0,0,0,0,10001
105,2025-09-17 16:58:51,192.168.99.1,R1.cisco.local,10775906,9839755,0,35664,0,27974,24503,24466,15537,0,0,10820,37,0,0,2
106,2025-09-17 16:58:51,192.168.99.2,S1.cisco.local,1610948,987627,0,11733,0,8643,321,321,306,2,0,0,0,0,0,10001
107,2025-09-17 16:58:51,192.168.99.3,S2.cisco.local,5516143,5212124,0,18406,0,14208,650,650,490,3,0,0,0,0,0,10001
108,2025-09-17 16:58:51,192.168.99.4,S3.cisco.local,4342082,4519070,0,4734,0,5590,328,328,297,1,0,0,0,0,0,10001
109,2025-09-17 16:59:06,192.168.99.1,R1.cisco.local,10780793,9843335,0,35704,0,27999,24535,24498,15552,0,0,10826,37,0,0,2
110,2025-09-17 16:59:06,192.168.99.2,S1.cisco.local,1612924,990649,0,11747,0,8656,322,322,307,2,0,0,0,0,0,10001
111,2025-09-17 16:59:06,192.168.99.3,S2.cisco.local,5520846,5213420,0,18430,0,14219,651,651,491,3,0,0,0,0,0,10001
112,2025-09-17 16:59:06,192.168.99.4,S3.cisco.local,4342082,4519710,0,4734,0,5592,329,329,298,1,0,0,0,0,0,10001
113,2025-09-17 16:59:21,192.168.99.1,R1.cisco.local,10784708,9846920,0,35728,0,28017,24554,24517,15563,0,0,10832,37,0,0,2
114,2025-09-17 16:59:21,192.168.99.2,S1.cisco.local,1614942,992973,0,11757,0,8667,323,323,308,2,0,0,0,0,0,10001
115,2025-09-17 16:59:21,192.168.99.3,S2.cisco.local,5521708,5214302,0,18441,0,14225,652,652,492,3,0,0,0,0,0,10001
116,2025-09-17 16:59:21,192.168.99.4,S3.cisco.local,4342082,4520745,0,4734,0,5593,330,330,299,1,0,0,0,0,0,10001
117,2025-09-17 16:59:36,192.168.99.1,R1.cisco.local,10792109,9852529,0,35786,0,28069,24580,24543,15579,0,0,10865,37,0,0,2
118,2025-09-17 16:59:36,192.168.99.2,S1.cisco.local,1617786,995593,0,11773,0,8681,324,324,309,2,0,0,0,0,0,10001
119,2025-09-17 16:59:36,192.168.99.3,S2.cisco.local,5523519,5216476,0,18466,0,14246,653,653,493,3,0,0,0,0,0,10001
120,2025-09-17 16:59:36,192.168.99.4,S3.cisco.local,4343182,4522288,0,4747,0,5609,331,331,300,1,0,0,0,0,0,10001
121,2025-09-17 16:59:51,192.168.99.1,R1.cisco.local,12151472,11208452,0,37156,0,29433,24602,24565,15593,0,0,12213,37,0,0,2
122,2025-09-17 16:59:51,192.168.99.2,S1.cisco.local,1619973,998129,0,11785,0,8695,325,325,310,2,0,0,0,0,0,10001
123,2025-09-17 16:59:51,192.168.99.3,S2.cisco.local,5552254,6545452,0,18911,0,15165,654,654,494,3,0,0,0,0,0,10001
124,2025-09-17 16:59:51,192.168.99.4,S3.cisco.local,5670668,4550487,0,5658,0,6041,332,332,301,1,0,0,0,0,0,10001
125,2025-09-17 17:00:06,192.168.99.1,R1.cisco.local,12156404,11212348,0,37194,0,29462,24634,24597,15614,0,0,12219,37,0,0,2
126,2025-09-17 17:00:06,192.168.99.2,S1.cisco.local,1622070,1001235,0,11799,0,8709,326,326,311,2,0,0,0,0,0,10001
127,2025-09-17 17:00:06,192.168.99.3,S2.cisco.local,5553926,6546832,0,18931,0,15177,655,655,495,3,0,0,0,0,0,10001
128,2025-09-17 17:00:06,192.168.99.4,S3.cisco.local,5671217,4551063,0,5658,0,6043,333,333,302,1,0,0,0,0,0,10001
129,2025-09-17 17:00:22,192.168.99.1,R1.cisco.local,12161024,11216340,0,37224,0,29487,24656,24619,15629,0,0,12225,37,0,0,2
130,2025-09-17 17:00:22,192.168.99.2,S1.cisco.local,1624509,1004252,0,11814,0,8725,327,327,312,2,0,0,0,0,0,10001
131,2025-09-17 17:00:22,192.168.99.3,S2.cisco.local,5555058,6547926,0,18945,0,15186,656,656,496,3,0,0,0,0,0,10001
132,2025-09-17 17:00:22,192.168.99.4,S3.cisco.local,5671217,4552098,0,5658,0,6044,334,334,303,1,0,0,0,0,0,10001
133,2025-09-17 17:00:37,192.168.99.1,R1.cisco.local,12167948,11222738,0,37264,0,29523,24679,24642,15647,0,0,12242,37,0,0,2
134,2025-09-17 17:00:37,192.168.99.2,S1.cisco.local,1629955,1006381,0,11824,0,8737,328,328,313,2,0,0,0,0,0,10001
135,2025-09-17 17:00:37,192.168.99.3,S2.cisco.local,5556852,6551288,0,18964,0,15201,657,657,497,3,0,0,0,0,0,10001
136,2025-09-17 17:00:37,192.168.99.4,S3.cisco.local,5673337,4553368,0,5663,0,6052,335,335,304,1,0,0,0,0,0,10001
137,2025-09-17 17:00:52,192.168.99.1,R1.cisco.local,12174059,11228319,0,37303,0,29557,24702,24665,15663,0,0,12258,37,0,0,2
138,2025-09-17 17:00:52,192.168.99.2,S1.cisco.local,1631872,1009413,0,11837,0,8750,329,329,314,2,0,0,0,0,0,10001
139,2025-09-17 17:00:52,192.168.99.3,S2.cisco.local,5558619,6554532,0,18985,0,15215,658,658,498,3,0,0,0,0,0,10001
