ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label
-0.5804372859272909,-0.4829692050876855,0.0,-0.6026588975509184,0.0,-0.5389954050377457,0.45137102441587057,0.4953758224375923,0.12663641345661053,-1.1960999625683568,0.0,-0.3526013874500027,-0.3442236156442802,0.0,0
-0.6075170981327908,-0.5588467418060132,0.0,-0.6071973533915282,0.0,-0.5491795972678795,-0.9043456597917229,-0.9230969443980963,-1.0211560911298787,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5959514437332297,-0.5225871862258996,0.0,-0.6059309977475886,0.0,-0.5462365003062196,-0.8858304755200626,-0.9036948930827119,-1.0072425381393053,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994094086934278,-0.5285133671189327,0.0,-0.6085201901326673,0.0,-0.5507709597749462,-0.9039517197008365,-0.9226841347956414,-1.0218366453522436,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5804199748923335,-0.48293567776852375,0.0,-0.6026499594648296,0.0,-0.5389800984000326,0.4537346649611889,0.4978526800523222,0.12829999044461388,-1.1960999625683568,0.0,-0.35259725346698007,-0.3442236156442802,0.0,0
-0.6075097314833519,-0.5588201943430657,0.0,-0.6071946909829061,0.0,-0.5491722078565696,-0.904289382635882,-0.9230379715977456,-1.0210804739940602,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.595944301748862,-0.5225739124944259,0.0,-0.6059252925862553,0.0,-0.5462285830798163,-0.8857741983642216,-0.9036359202823612,-1.0071669210034868,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994094086934278,-0.5285039434555673,0.0,-0.6085201901326673,0.0,-0.5507699041447591,-0.9038954425449955,-0.9226251619952907,-1.0217610282164253,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5804030540651313,-0.4829014473188834,0.0,-0.6026442543034963,0.0,-0.5389669030226937,0.45519787101305265,0.49938597286144076,0.1294342474818889,-1.1960999625683568,0.0,-0.3525931194839575,-0.3442236156442802,0.0,0
-0.6074891421120271,-0.5587978142144181,0.0,-0.6071918384022394,0.0,-0.5491648184452599,-0.9042331054800411,-0.9229789987973949,-1.021004856858242,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
